CMDLINE 'C:\Program Files\Python39\python.exe' JuliaSet_line.py
MEM 1.707031 1737735150.0342
MEM 15.496094 1737735150.1473
MEM 23.125000 1737735150.2569
MEM 29.359375 1737735150.3670
MEM 34.441406 1737735150.4768
MEM 39.289062 1737735150.5844
MEM 43.500000 1737735150.6966
MEM 65.503906 1737735150.8088
MEM 90.558594 1737735150.9184
MEM 114.750000 1737735151.0290
MEM 129.250000 1737735151.1406
MEM 129.257812 1737735151.2521
MEM 129.296875 1737735151.3609
MEM 129.375000 1737735151.4687
MEM 129.437500 1737735151.5783
MEM 129.500000 1737735151.6909
MEM 129.500000 1737735151.8014
MEM 129.550781 1737735151.9120
MEM 129.625000 1737735152.0217
MEM 129.687500 1737735152.1324
MEM 129.750000 1737735152.2419
MEM 129.765625 1737735152.3534
MEM 129.875000 1737735152.4631
MEM 129.875000 1737735152.5728
MEM 129.937500 1737735152.6844
MEM 130.000000 1737735152.7951
MEM 130.035156 1737735152.9056
MEM 130.125000 1737735153.0153
MEM 130.187500 1737735153.1250
MEM 130.250000 1737735153.2363
MEM 130.250000 1737735153.3479
MEM 130.300781 1737735153.4578
MEM 130.375000 1737735153.5649
MEM 130.437500 1737735153.6769
MEM 130.500000 1737735153.7883
MEM 130.519531 1737735153.8999
MEM 130.625000 1737735154.0096
MEM 130.687500 1737735154.1203
MEM 130.750000 1737735154.2312
MEM 130.750000 1737735154.3417
MEM 130.800781 1737735154.4504
MEM 130.875000 1737735154.5611
MEM 130.937500 1737735154.6728
MEM 131.000000 1737735154.7835
MEM 131.027344 1737735154.8932
MEM 131.125000 1737735155.0048
MEM 131.187500 1737735155.1153
MEM 131.250000 1737735155.2268
MEM 131.253906 1737735155.3378
MEM 131.304688 1737735155.4466
MEM 131.375000 1737735155.5562
FUNC __main__.calculate_z_serial_purepython 121.6133 1737735151.0610 132.3750 1737735157.7536 0
MEM 131.437500 1737735155.6669
MEM 131.500000 1737735155.7768
MEM 131.515625 1737735155.8872
MEM 131.625000 1737735155.9969
MEM 131.687500 1737735156.1084
MEM 131.687500 1737735156.2172
MEM 131.750000 1737735156.3288
MEM 131.785156 1737735156.4384
MEM 131.875000 1737735156.5489
MEM 131.875000 1737735156.6591
MEM 131.937500 1737735156.7708
MEM 131.976562 1737735156.8805
MEM 132.035156 1737735156.9903
MEM 132.125000 1737735157.1009
MEM 132.187500 1737735157.2095
MEM 132.250000 1737735157.3210
MEM 132.250000 1737735157.4306
MEM 132.292969 1737735157.5402
MEM 132.375000 1737735157.6519
MEM 132.375000 1737735157.7626
